species,stickbot,twigbot,branchbot,treebot,quadruped,starfishbot,tablebot,spherebot,snakebot,crabbot,humanoid,snakebot+,quadruped+,crabbot+
total,0.2732447817836812144212523719,0.3103448275862068965517241380,0.3310657596371882086167800454,0.4678436317780580075662042875,0.3943798449612403100775193798,0.500181884321571480538377592,0.4272340425531914893617021276,0.4823386114494518879415347138,0.4681384846964375313597591570,0.4581993569131832797427652733,0.5644768856447688564476885645,0.4585492227979274611398963730,0.37109375,0.3272727272727272727272727272
move,0.4210526315789473684210526316,0.4745762711864406779661016949,0.532846715328467153284671533,0.8247011952191235059760956175,0.6124567474048442906574394465,0.907006369426751592356687898,0.7160493827160493827160493825,0.8047808764940239043824701195,0.883161512027491408934707904,0.7303370786516853932584269665,0.8957345971563981042654028435,0.865168539325842696629213483,0.68,0.6153846153846153846153846155
jump,0.0149253731343283582089552239,0.07407407407407407407407407405,0.0888888888888888888888888889,0.2133333333333333333333333334,0.1553398058252427184466019418,0.2066420664206642066420664206,0.2028985507246376811594202898,0.07407407407407407407407407405,0.3958333333333333333333333334,0.0784313725490196078431372549,0.07407407407407407407407407405,0.3823529411764705882352941176,0.2,0
move forward,0,0.0588235294117647058823529412,0.1515151515151515151515151515,0.3076923076923076923076923077,0.3214285714285714285714285714,0.1477272727272727272727272728,0.265625,0.1923076923076923076923076923,0.6413043478260869565217391305,0.25,0.0588235294117647058823529412,0.03125,0.1904761904761904761904761905,0.4
backflip,0.0810810810810810810810810811,0.2222222222222222222222222222,0,0.0769230769230769230769230769,0.15625,0.2365591397849462365591397850,0.1166666666666666666666666666,0.05555555555555555555555555555,0.05303030303030303030303030305,0.1428571428571428571428571428,0.125,0.2272727272727272727272727272,0,0.3333333333333333333333333334
stop,0.625,0.4117647058823529411764705882,0.3513513513513513513513513514,0.2857142857142857142857142857,0.08510638297872340425531914895,0.2623762376237623762376237624,0.2727272727272727272727272728,0.1960784313725490196078431372,0.0491803278688524590163934426,0.2258064516129032258064516129,0.08333333333333333333333333335,0,0.5,0.5714285714285714285714285715
spin,0.3333333333333333333333333334,0.3913043478260869565217391304,0.15625,0.2692307692307692307692307692,0.3333333333333333333333333334,0.2148760330578512396694214876,0.5581395348837209302325581395,0.846153846153846153846153846,0.0240963855421686746987951807,0.2727272727272727272727272728,0.125,0.3636363636363636363636363636,0.375,0.1333333333333333333333333334
walk,0.25,0.15,0.25,0.7435897435897435897435897435,0.4153846153846153846153846154,0.780952380952380952380952381,0.6142857142857142857142857145,0.2444444444444444444444444444,0.6770833333333333333333333335,0.515151515151515151515151515,0.1666666666666666666666666666,0.5789473684210526315789473685,0.5,0.7142857142857142857142857145
roll,0.2142857142857142857142857143,0.5,0.1538461538461538461538461538,0.1372549019607843137254901961,0.2325581395348837209302325582,0.1142857142857142857142857143,0.1052631578947368421052631579,0.9032258064516129032258064515,0.1230769230769230769230769231,0.619047619047619047619047619,0,0.3333333333333333333333333334,0.2307692307692307692307692308,0.1666666666666666666666666666
move backward,0,0.125,0.06666666666666666666666666665,0.3333333333333333333333333334,0.09523809523809523809523809525,0.1935483870967741935483870968,0.28,0.25,0.2173913043478260869565217392,0.05555555555555555555555555555,1,0.722222222222222222222222222,0.1666666666666666666666666666,0.3333333333333333333333333334
dance,0.1,0,0.4545454545454545454545454546,0.4230769230769230769230769231,0.6153846153846153846153846155,0.6216216216216216216216216215,0.62,0.6923076923076923076923076925,0.672727272727272727272727273,0.576923076923076923076923077,0.3333333333333333333333333334,0.782608695652173913043478261,0.736842105263157894736842105,0.3333333333333333333333333334
run,0.08333333333333333333333333335,0,0.125,0.6666666666666666666666666665,0.2380952380952380952380952381,0.4411764705882352941176470588,0.55,0,0.1428571428571428571428571428,0.2727272727272727272727272728,0.3333333333333333333333333334,0.3846153846153846153846153846,0.1052631578947368421052631579,0.6
flip,0,0.3,0.2222222222222222222222222222,0,0.5,0.125,0.1363636363636363636363636364,0.4375,0.03703703703703703703703703705,0.875,0,0.08333333333333333333333333335,0.375,0
others,0.2966101694915254237288135593,0.2358490566037735849056603774,0.3891213389121338912133891214,0.3083700440528634361233480176,0.3780068728522336769759450172,0.3410958904109589041095890411,0.3032786885245901639344262295,0.3544303797468354430379746836,0.2940038684719535783365570600,0.3850931677018633540372670808,0.3636363636363636363636363636,0.2638888888888888888888888889,0.2741935483870967741935483871,0.2727272727272727272727272728
