commands,move,jump,stop,walk,spin,backflip,dance,move forward,roll,turn around
starfishbot,0.8130841121495327,0.7681159420289855,0.9512195121951219,0.7659574468085106,0.8461538461538461,0.8333333333333334,0.7647058823529411,1.0,0.7142857142857143,0.9090909090909091
snakebot,0.8589743589743589,0.7352941176470589,0.8260869565217391,0.5652173913043478,1.0,0.8,0.8461538461538461,0.9333333333333333,0.75,1.0
tablebot,0.5454545454545454,0.6666666666666666,0.7692307692307693,0.7692307692307693,1.0,0.7777777777777778,0.875,0.6666666666666666,0.6666666666666666,0.0
quadruped,0.6666666666666666,0.7692307692307693,0.8333333333333334,0.14285714285714285,0.8333333333333334,1.0,1.0,0.75,0.6666666666666666,0.5
spherebot,0.6410256410256411,0.8666666666666667,0.8333333333333334,0.75,0.6666666666666666,0.5,1.0,0.6,0.4,0.8
treebot,0.8709677419354839,0.9,1.0,0.5714285714285714,-0.0,1.0,0.6666666666666666,0.0,0.8333333333333334,1.0
branchbot,0.4827586206896552,0.8125,0.5,1.0,0.8571428571428571,1.0,1.0,0.7777777777777778,1.0,1.0
crabbot,0.75,1.0,0.6666666666666666,0.2,0.75,1.0,0.75,0.5,0.5,0.6666666666666666
stickbot,0.5555555555555556,0.9411764705882353,0.3333333333333333,0.5,1.0,0.75,1.0,1.0,1.0,1.0
twigbot,0.3684210526315789,0.8,1.0,0.8,1.0,0.6666666666666666,-0.0,1.0,1.0,-0.0
